Instance,Income
111994,25351.882069271058
111995,-30283.059799453244
111996,47738.59454942588
111997,169318.59166958462
111998,4721.862302496098
111999,125488.34081701562
112000,112204.77200393751
112001,69637.17398486938
112002,51553.96066504996
112003,98007.8605044391
112004,-47793.40298975073
112005,187445.73496887647
112006,-42130.77130435221
112007,113075.94281319436
112008,313739.32437743805
112009,76916.43961585965
112010,48518.21547603328
112011,-5484.365602067672
112012,7533.162262968719
112013,65240.37902404368
112014,144361.94617845584
112015,10282.37625106331
112016,73218.04010282084
112017,-838.996253348887
112018,209524.42283442058
112019,61922.79770314228
112020,-37447.11425043829
112021,-32131.472796546295
112022,90245.07334948052
112023,101219.96807764657
112024,-41700.284872824326
112025,89988.42073114961
112026,93062.14543829951
112027,61071.94995300844
112028,3898.9897778099403
112029,39393.5028359741
112030,178144.9267213093
112031,229881.659390755
112032,219977.86965864245
112033,94783.39582183212
112034,392488.46620476805
112035,106113.7258820897
112036,199291.94460004568
112037,164074.00490464363
112038,193749.80057289917
112039,25097.54240258038
112040,83443.43018615618
112041,84318.16624905355
112042,67487.84201720636
112043,23800.181145124137
112044,20209.56510827411
112045,53504.92770630028
112046,285531.0917076804
112047,27417.052712204866
112048,-74064.12633437198
112049,111024.64281488024
112050,11961.445756463334
112051,58890.38140848279
112052,136196.78373985738
112053,187041.57295263372
112054,108515.97901117057
112055,-31527.016265816987
112056,105446.90772845037
112057,-17382.490987923928
112058,128217.16001687571
112059,2067.5279428046197
112060,295492.4738561502
112061,165891.76510478463
112062,197725.05072284304
112063,67649.8192009842
112064,-32889.476327338256
112065,41690.74289399013
112066,12790.367619659752
112067,123312.08094458282
112068,145087.281806767
112069,258775.42671844177
112070,337073.15463983547
112071,91212.08256857377
112072,95942.94039746188
112073,10652.029483801685
112074,24093.982523033395
112075,-12343.927460843697
112076,135316.87809134647
112077,716443.2643513717
112078,-14866.65758517757
112079,232005.50929979607
112080,134956.39576565474
112081,556461.1621624175
112082,-15582.896311716177
112083,89036.04634074308
112084,27390.183331081644
112085,57428.809110208414
112086,-6950.608752035536
112087,79264.89756486565
112088,120266.35836739838
112089,23150.471063855104
112090,182582.66025396995
112091,26243.18423525337
112092,12252.534449960105
112093,112502.616472736
112094,556.1969652893022
112095,-18080.994581512176
112096,136590.42178132664
112097,15556.374844951555
112098,-53601.597050404176
112099,55727.11043232307
112100,44010.70914791059
112101,330957.1611727318
112102,-3189.7355522504076
112103,153318.65743015986
112104,67628.68780745566
112105,110917.49991883896
112106,114359.18292079493
112107,136688.0318466667
112108,108521.22569486126
112109,16584.322747274302
112110,85240.55748172384
112111,-9486.746338650584
112112,40957.43204091489
112113,76536.51831443515
112114,18197.82809986919
112115,27755.093193274923
112116,49623.66891887598
112117,90072.98113406915
112118,49849.35630343482
112119,50027.658676953986
112120,349526.5682452461
112121,129335.50958848372
112122,410812.2427334059
112123,348346.4749876242
112124,99810.26995852776
112125,170494.8871072866
112126,185757.46985957865
112127,-18323.719619826414
112128,56075.42483487632
112129,114663.50344297104
112130,102641.94472509809
112131,118733.65060073603
112132,67121.91959924717
112133,254005.378407849
112134,58154.333030912094
112135,-62917.50982107129
112136,60639.19401126262
112137,-10290.686974748969
112138,5565.790552241728
112139,59392.857206690125
112140,39657.62552294694
112141,31686.75243735127
112142,86021.42701170035
112143,271986.69426230434
112144,-54727.916463285685
112145,19934.581208665855
112146,87625.15876872465
112147,231175.1517478181
112148,74880.6218723217
112149,46106.33921043016
112150,-37586.77617258858
112151,244719.44569110218
112152,126068.68773445673
112153,49133.73949014768
112154,99853.22764648311
112155,80568.65197765455
112156,134286.42732539214
112157,135686.93180602882
112158,66036.04385241866
112159,282472.37727671117
112160,28235.040790207684
112161,162090.8080445137
112162,119455.2619516924
112163,38460.47491325624
112164,88205.66508229636
112165,135719.21378916316
112166,71072.20988549478
112167,48998.211741501465
112168,69091.9890389964
112169,221826.51314443536
112170,216102.09464268852
112171,87848.16809254698
112172,-10170.48898220528
112173,157686.33118245006
112174,-12541.617369063199
112175,36842.45938042924
112176,1048.1709217103198
112177,90075.23334261961
112178,-38773.26082680188
112179,9529.690683207475
112180,-19531.17035892699
112181,885.6592352185398
112182,212946.78624107782
112183,109758.76967298426
112184,-28705.772946147248
112185,331344.24212026875
112186,8168.163623072207
112187,153699.4736356279
112188,159815.59341635834
112189,25952.870187221095
112190,62628.35016108211
112191,96919.08839852363
112192,325381.5727391355
112193,16038.069475967437
112194,183078.42395760491
112195,76577.28292983491
112196,-32923.413011164404
112197,331179.78733536415
112198,52814.725922408514
112199,26249.786935476586
112200,31952.092646231875
112201,240061.03721220233
112202,141196.51779219043
112203,27359.639828398824
112204,48771.48296761606
112205,-27049.499208736233
112206,147211.3489184687
112207,376243.89152746275
112208,52898.32016049698
112209,456939.6273223227
112210,59106.962317917496
112211,221617.79851097986
112212,89472.9607480159
112213,-4330.171360365115
112214,289295.27775531076
112215,70824.99749111477
112216,113776.05088403169
112217,-8206.419564599171
112218,4735.034970209934
112219,357525.9629367944
112220,78491.90081454534
112221,-38004.51778769586
112222,35986.58122818358
112223,66300.47944055405
112224,176144.12981400918
112225,45905.32873094827
112226,98615.05410666578
112227,45326.073507630266
112228,113372.47510570195
112229,82934.99500133004
112230,202001.39832700416
112231,-79912.88325338904
112232,213952.50892571453
112233,14974.510947647505
112234,78653.31053164974
112235,-42997.388306453824
112236,116633.14640950598
112237,426355.19650754053
112238,75948.28354704008
112239,69361.67599760275
112240,58703.566059983335
112241,-20977.186500795186
112242,15517.146802932955
112243,114053.35548164416
112244,215729.4606438037
112245,134203.2549137883
112246,54022.27191390656
112247,379966.1134076016
112248,134118.28167817555
112249,-47255.59569135681
112250,17159.806242021732
112251,51949.905862518586
112252,60676.55745367054
112253,-38186.216041251086
112254,244505.91413119342
112255,53015.8598677367
112256,21886.326083225198
112257,44745.39224604983
112258,487307.7535323687
112259,220047.29747273214
112260,173387.24094832968
112261,354480.38187110797
112262,109859.55725222174
112263,-3791.8278876719996
112264,60951.68387899641
112265,31395.15051793959
112266,64900.326191644184
112267,76345.33509988431
112268,122510.31933920179
112269,440371.07080382295
112270,-21784.399729741737
112271,99209.6773504829
112272,141332.97749365028
112273,157730.46119283047
112274,-29388.772736602463
112275,263064.43582331017
112276,296067.67164131254
112277,59414.12750678882
112278,-2945.9882260579616
112279,-9821.715177180246
